"from","to","weight"
"Bingning_Wang","Kang_Liu_0001",2
"Bingning_Wang","Jun_Zhao_0001",1
"Kang_Liu_0001","Jun_Zhao_0001",1
"Dalin_Zhang","Lina_Yao",1
"Dalin_Zhang","Kaixuan_Chen",1
"Dalin_Zhang","Sen_Wang_0001",1
"Lina_Yao","Kaixuan_Chen",1
"Lina_Yao","Sen_Wang_0001",1
"Kaixuan_Chen","Sen_Wang_0001",1
"Han_Guo","Juan_Cao",1
"Han_Guo","Yazi_Zhang",1
"Han_Guo","Junbo_Guo",1
"Han_Guo","Jintao_Li",1
"Juan_Cao","Yazi_Zhang",1
"Juan_Cao","Junbo_Guo",1
"Juan_Cao","Jintao_Li",1
"Yazi_Zhang","Junbo_Guo",1
"Yazi_Zhang","Jintao_Li",1
"Junbo_Guo","Jintao_Li",1
"Andrés_Muñoz_Medina","Sergei_Vassilvitskii",2
"Andrés_Muñoz_Medina","Dong_Yin",1
"Sergei_Vassilvitskii","Dong_Yin",1
"Junqi_Zhang","Yiqun_Liu_0001",1
"Junqi_Zhang","Shaoping_Ma",1
"Junqi_Zhang","Qi_Tian",1
"Yiqun_Liu_0001","Shaoping_Ma",6
"Yiqun_Liu_0001","Qi_Tian",1
"Shaoping_Ma","Qi_Tian",1
"Zhuoren_Jiang","Liangcai_Gao",1
"Zhuoren_Jiang","Ke_Yuan",1
"Zhuoren_Jiang","Zheng_Gao",1
"Zhuoren_Jiang","Zhi_Tang",1
"Zhuoren_Jiang","Xiaozhong_Liu",1
"Liangcai_Gao","Ke_Yuan",1
"Liangcai_Gao","Zheng_Gao",1
"Liangcai_Gao","Zhi_Tang",1
"Liangcai_Gao","Xiaozhong_Liu",1
"Ke_Yuan","Zheng_Gao",1
"Ke_Yuan","Zhi_Tang",1
"Ke_Yuan","Xiaozhong_Liu",1
"Zheng_Gao","Zhi_Tang",1
"Zheng_Gao","Xiaozhong_Liu",1
"Zhi_Tang","Xiaozhong_Liu",1
"Tiezheng_Ge","Liqin_Zhao",1
"Tiezheng_Ge","Guorui_Zhou",1
"Tiezheng_Ge","Keyu_Chen",1
"Tiezheng_Ge","Shuying_Liu",1
"Tiezheng_Ge","Huiming_Yi",1
"Tiezheng_Ge","Zelin_Hu",1
"Tiezheng_Ge","Bochao_Liu",1
"Tiezheng_Ge","Peng_Sun",1
"Tiezheng_Ge","Haoyu_Liu",1
"Tiezheng_Ge","Pengtao_Yi",1
"Tiezheng_Ge","Sui_Huang",1
"Tiezheng_Ge","Zhiqiang_Zhang_0011",1
"Tiezheng_Ge","Xiaoqiang_Zhu",1
"Tiezheng_Ge","Yu_Zhang",1
"Tiezheng_Ge","Kun_Gai",1
"Liqin_Zhao","Guorui_Zhou",1
"Liqin_Zhao","Keyu_Chen",1
"Liqin_Zhao","Shuying_Liu",1
"Liqin_Zhao","Huiming_Yi",1
"Liqin_Zhao","Zelin_Hu",1
"Liqin_Zhao","Bochao_Liu",1
"Liqin_Zhao","Peng_Sun",1
"Liqin_Zhao","Haoyu_Liu",1
"Liqin_Zhao","Pengtao_Yi",1
"Liqin_Zhao","Sui_Huang",1
"Liqin_Zhao","Zhiqiang_Zhang_0011",1
"Liqin_Zhao","Xiaoqiang_Zhu",1
"Liqin_Zhao","Yu_Zhang",1
"Liqin_Zhao","Kun_Gai",1
"Guorui_Zhou","Keyu_Chen",1
